lntotalcashpad,royalty,numbids,advertisedacreage,totalcashpa_d
7.337237,.215,2,118,1536.461
6.484198,.2,2,118,654.7134
5.687398,.1875,2,159.43,295.1247
5.01786,.15,2,159.43,151.0877
5.068628,.1875,3,235,158.9561
4.687591,.125,3,235,108.5913
4.300064,.125,3,235,73.70449
6.197184,.225,2,2500,491.3633
5.599347,.21,2,2500,270.2498
7.121442,.26,4,2500,1238.235
6.890331,.225,4,2500,982.7265
7.03183,.21,4,2500,1132.101
7.020394,.2375,4,2500,1119.227
5.72718,.2,2,640,307.102
5.202931,.2,2,640,181.8044
7.018053,.21,2,95,1116.61
6.420327,.25,2,95,614.204
6.939121,.26,2,720,1031.863
6.226742,.2,2,720,506.1041
5.552826,.25,2,80,257.9657
5.922747,.1667,2,80,373.4361
6.931152,.26,2,746,1023.673
6.220705,.21,2,746,503.0577
6.803753,.235,2,200,901.2231
6.991422,.22,2,200,1087.266
8.271022,.235,2,125.4,3908.94
8.352049,.225,2,125.4,4238.855
6.871336,.2,2,320,964.2354
5.772768,.212,2,320,321.4263
7.276801,.25,3,98,1446.353
6.226978,.25,3,98,506.2236
4.348155,.1875,3,98,77.33561
7.276801,.25,2,110,1446.353
4.360831,.1875,2,110,78.32221
7.787626,.25,3,50,2410.588
6.226978,.25,3,50,506.2236
6.234569,.1875,3,50,510.0805
8.441155,.2,2,2497.27,4633.907
6.884399,.21,2,2497.27,976.915
7.04015,.21,2,2497.27,1141.558
5.957477,.2,2,2497.27,386.6332
6.395566,.215,2,95,599.1823
5.77938,.21,2,95,323.5584
7.035312,.23,2,265.15,1136.05
7.017806,.225,2,265.15,1116.334
6.67924,.225,2,2500,795.714
6.474525,.22,2,2500,648.4111
6.67924,.225,2,2500,795.714
6.474525,.22,2,2500,648.4111
8.947203,.346,2,290,7686.358
6.905552,.211,2,290,997.7991
9.035485,.351,2,146,8395.79
6.900502,.211,2,146,992.7731
8.930221,.339,3,262,7556.935
7.787842,.265,3,262,2411.109
6.900502,.211,3,262,992.7731
7.787842,.265,3,163,2411.109
6.900502,.211,3,163,992.7733
6.623179,.375,3,163,752.3334
7.787842,.265,2,527,2411.109
6.900502,.211,2,527,992.7731
7.146982,.225,2,347,1270.266
6.900502,.211,2,347,992.7731
7.146982,.225,2,596,1270.266
6.900502,.211,2,596,992.7731
7.146982,.225,2,303,1270.266
7.154912,.217,2,303,1280.381
7.146982,.225,2,318,1270.266
7.154912,.217,2,318,1280.381
7.154912,.217,3,192,1280.381
6.623179,.375,3,192,752.3333
6.683248,.215,3,192,798.9097
7.154912,.217,2,400,1280.381
6.787608,.215,2,400,886.7897
7.154838,.217,2,508,1280.285
7.112061,.215,2,508,1226.672
6.814276,.23,2,180,910.757
6.490876,.25,2,180,659.1005
6.221212,.525,3,96,503.3131
6.193401,.46,3,96,489.5079
7.1545,.41,3,96,1279.853
6.221212,.5833,3,129,503.3131
6.193401,.46,3,129,489.5079
6.610677,.375,3,129,742.986
7.602734,.225,2,144,2003.665
5.574585,.4633,2,144,263.6402
6.645607,.215,2,1994.32,769.3972
6.419282,.25,2,1994.32,613.5626
8.665051,.25,2,430,5796.74
6.911021,.265,2,430,1003.271
6.221212,.38,2,106,503.3131
6.411439,.21,2,106,608.7692
8.13553,.33,2,160,3413.625
7.310807,.27,2,160,1496.384
6.140262,.25,2,40.31,464.175
5.581942,.1667,2,40.31,265.5868
6.875531,.265,5,245,968.2889
6.77392,.21,5,245,874.7344
5.09816,.125,5,245,163.7204
6.861332,.1667,5,245,954.6376
6.261311,.1875,5,245,523.9051
6.371125,.275,2,70,584.7155
6.505656,.21,2,70,668.9146
5.474638,.31,2,88,238.5639
6.913496,.25,2,88,1005.758
6.502154,.38,2,78,666.5757
6.913496,.25,2,78,1005.757
5.677978,.2,3,1280,292.3578
4.613985,.1875,3,1280,100.8853
4.633854,.1667,3,1280,102.9099
6.91345,.22,2,235,1005.711
6.16991,.32,2,235,478.143
7.162267,.272,2,44,1289.832
6.858812,.22,2,44,952.2354
7.422357,.21,2,314,1672.972
6.648407,.22,2,314,771.554
6.902082,.21,3,195,994.3431
6.35768,.21,3,195,576.9066
6.604913,.22,3,195,738.7159
7.944952,.25,3,107,2821.298
6.157311,.2,3,107,472.157
7.056832,.2187,3,107,1160.762
7.761814,.26,2,49,2349.162
6.628978,.21,2,49,756.7084
7.17285,.245,2,382,1303.555
6.954554,.23,2,382,1047.911
7.478925,.23,3,605,1770.337
6.836318,.23,3,605,931.0547
7.267919,.25,3,605,1433.564
8.143388,.23,3,992,3440.552
6.713843,.23,3,992,823.7302
7.267919,.25,3,992,1433.564
8.017026,.25,2,152,3032.146
7.830704,.265,2,152,2516.7
7.725946,.25,2,161.88,2266.396
6.942804,.25,2,161.88,1035.67
6.637743,.2,2,208,763.3699
5.616489,.2455,2,208,274.9224
6.514051,.25,2,85,674.5537
6.564618,.175,2,85,709.5405
6.850523,.25,2,52,944.3751
6.176245,.2,2,52,481.1816
7.535569,.252,2,125,1873.509
6.913634,.25,2,125,1005.896
7.182539,.25,4,40,1316.246
5.61566,.25,4,40,274.6947
6.021126,.1667,4,40,412.0421
5.61566,.2,4,40,274.6947
6.361716,.2,2,1310,579.2396
6.243647,.22,2,1310,514.7321
6.995685,.21,2,1036,1091.911
6.877902,.22,2,1036,970.588
9.345787,.333333,3,94,11450.48
7.51278,.45,3,94,1831.298
8.141389,.25,3,94,3433.684
6.029678,.1875,2,120,415.5811
5.218748,.18,2,120,184.7027
6.560305,.2,2,753.96,706.4873
6.381351,.2,2,753.96,590.7255
6.530406,.2,2,40,685.6763
5.817456,.1667,2,40,336.1158
6.39594,.25,2,440.72,599.4066
4.102952,.25,2,440.72,60.5187
7.559091,.26,2,2168.73,1918.101
6.639329,.21,2,2168.73,764.5818
7.82343,.245,2,1580,2498.461
6.670452,.2,2,1580,788.7518
6.623474,.2275,2,145.17,752.5548
5.496424,.1667,2,145.17,243.8186
7.727962,.263,3,188,2270.969
7.158983,.25,3,188,1285.603
7.669107,.25,3,188,2141.169
6.826629,.25,2,131,922.0768
6.342526,.25,2,131,568.2299
6.507715,.25,2,80,670.2931
6.22287,.225,2,80,504.1483
5.574895,.1875,2,41,263.7219
5.946459,.1667,2,41,382.3967
5.842081,.25,2,73,344.4953
5.556461,.1975,2,73,258.9051
5.583194,.1875,2,55,265.9196
5.399551,.1875,2,55,221.307
9.132622,.3,3,523,9252.243
7.490592,.275,3,523,1791.111
7.697157,.275,3,523,2202.078
8.282946,.2,2,60,3955.828
6.778868,.315,2,60,879.073
7.267715,.25,2,46,1433.271
6.783855,.225,2,46,883.4683
7.732454,.24,3,839.36,2281.194
7.720826,.23,3,839.36,2254.822
7.549416,.23,3,839.36,1899.633
6.507715,.25,2,120.51,670.2933
5.919666,.225,2,120.51,372.2875
5.21822,.1875,2,389,184.6053
4.906441,.2,2,389,135.1575
5.555595,.1875,2,45,258.6809
5.357643,.1875,2,45,212.224
7.456787,.28,2,135,1731.575
6.633586,.25,2,135,760.2039
9.141377,.28,2,170,9333.614
8.425346,.25,2,170,4561.223
8.757842,.28,2,180,6360.372
7.713507,.25,2,180,2238.378
9.514136,.29,4,120,13549.93
9.567444,.28,4,120,14291.83
8.618412,.28,4,120,5532.595
7.614416,.225,4,120,2027.21
9.048405,.275,4,145,8504.963
7.593362,.28,4,145,1984.977
6.768506,.28,4,145,870.011
7.49935,.225,4,145,1806.868
7.66128,.25,3,165,2124.475
6.599685,.25,3,165,734.8637
6.768506,.28,3,165,870.011
6.632727,.22,2,350,759.5504
6.525135,.25,2,350,682.0718
6.730654,.22,2,430,837.6948
6.525135,.25,2,430,682.0717
7.243829,.26,2,41,1399.443
