win,diffr,diffc
0,0,-1230.726
1,0,1230.726
0,.0455,-488.4475
1,-.0455,488.4475
0,-.075,34.98682
1,.075,-34.98682
0,-.05,-463.1935
1,.05,463.1935
0,-.002,-867.6133
1,.002,867.6133
0,0,-1041.551
1,0,1041.551
0,-.0833,-904.2035
1,.0833,904.2035
0,-.05,-1041.551
1,.05,1041.551
0,.02,-64.50751
1,-.02,64.50751
0,.01,-121.3235
1,-.01,121.3235
0,.1166667,-9619.186
1,-.1166667,9619.186
0,-.0833333,-8016.8
1,.0833333,8016.8
0,-.0075,-230.8784
1,.0075,230.8784
0,0,-115.7618
1,0,115.7618
0,-.0333,-349.5604
1,.0333,349.5604
0,0,-538.8879
1,0,538.8879
0,-.05,-1153.519
1,.05,1153.519
0,-.045,-1709.709
1,.045,1709.709
0,-.0608,-508.7363
1,.0608,508.7363
0,-.013,-985.3656
1,.013,985.3656
0,-.013,-129.8003
1,.013,129.8003
0,0,-353.847
1,0,353.847
0,-.025,-166.1448
1,.025,166.1448
0,-.0208,118.6748
1,.0208,-118.6748
0,-.0525,-85.59024
1,.0525,85.59024
0,0,-44.61255
1,0,44.61255
0,-.025,-7461.132
1,.025,7461.132
0,-.025,-7050.165
1,.025,7050.165
0,.115,-3076.755
1,-.115,3076.755
0,-.025,-549.8027
1,.025,549.8027
0,-.01,-26.37231
1,.01,26.37231
0,-.01,-381.5615
1,.01,381.5615
0,-.025,-298.0058
1,.025,298.0058
0,.0125,-49.4478
1,-.0125,49.4478
0,0,-46.45691
1,0,46.45691
0,-.03,-971.3715
1,.03,971.3715
0,-.03,-4772.391
1,.03,4772.391
0,-.03,-4121.994
1,.03,4121.994
0,-.01,741.9023
1,.01,-741.9023
0,-.01,-8017.335
1,.01,8017.335
0,-.065,-11522.72
1,.065,11522.72
0,.005,-6519.986
1,-.005,6519.986
0,.005,-7634.952
1,-.005,7634.952
0,-.05,-6698.095
1,.05,6698.095
0,0,-1389.612
1,0,1389.612
0,.03,-1254.464
1,-.03,1254.464
0,.03,-77.47858
1,-.03,77.47858
0,.03,-155.6231
1,-.03,155.6231
0,-.035,-660.3558
1,.035,660.3558
0,-.0683,196.4705
1,.0683,-196.4705
0,-.02,-359.4025
1,.02,359.4025
0,0,115.0088
1,0,-115.0088
0,-.015,58.50732
1,.015,-58.50732
0,0,-305.0742
1,0,305.0742
0,0,-96.11926
1,0,96.11926
0,.0025,-735.5212
1,-.0025,735.5212
0,0,-1978.781
1,0,1978.781
0,-.01,-1801.529
1,.01,1801.529
0,.0025,-735.5212
1,-.0025,735.5212
0,.05,-1466.206
1,-.05,1466.206
0,0,-1978.781
1,0,1978.781
0,0,-1619.108
1,0,1619.108
0,-.025,-651.5851
1,.025,651.5851
0,-.02,-376.1189
1,.02,376.1189
0,-.02,-1183.604
