accbid,roy_dm,lncpad_dm,royalty,totalcashpa_d,e_roy,e_lncpad,wtim_d,r_cc,primaryterm,auctionyear,iv,develop,stateagency,rowid,advertisedacreage,index,nb,auctionmonth,numbids,nobid,rentals,income,well,wtim,lnacr,lnacr2,year,qtr,yearmonth,rentals_d,lnbonuspa_d,lntotalcashpad,twp_idx_pre,tractid,surffit_lnb2,surffit_r2,twp_prod_post,e_cpad,outlier,totrim
1,-.0120755,.4504647,.225,1126.537,.2370755,6.576439,30.43518,.0371582,3,1989,.27538,0,0,31,49,.558,2,11,2,1,9236.5,0,0,19.82,3.89182,15.14626,1989,4,198911,14183.38,6.362879,7.026904,12.89102,436,-.04479,-.0049129,14.66239,717.978,0,0
0,-.0120755,.0791693,.225,777.1302,.2370755,6.576439,30.43518,.0371582,3,1989,.27538,0,0,32,49,.558,2,11,2,2,8575,0,0,19.82,3.89182,15.14626,1989,4,198911,13167.59,5.597408,6.655608,12.89102,436,-.04479,-.0049129,14.66239,717.978,0,0
1,.0097291,-.3419385,.23,383.5372,.2202709,6.291375,34.38739,.0396117,3,1990,.329803,0,0,33,1346,.288,2,1,2,1,87490,0,0,22.641,7.204893,51.91048,1990,1,199001,132880.7,5.290514,5.949437,12.16668,437,.232475,.016575,13.48375,539.8953,0,0
0,-.0202709,-.4013619,.2,361.4101,.2202709,6.291375,34.38739,.0396117,3,1990,.329803,0,0,34,1346,.288,2,1,2,2,82442.5,0,0,22.641,7.204893,51.91048,1990,1,199001,125214.5,5.231399,5.890013,12.16668,437,.232475,.016575,13.48375,539.8953,0,0
1,.0094898,.312777,.23,649.063,.2205102,6.162753,34.38739,.0396117,3,1990,.329803,1,0,35,927,.194,2,1,2,1,101970,0,1,22.641,6.831954,46.67559,1990,1,199001,154873.1,5.814543,6.47553,12.0184,438,.20654,.014236,12.82075,474.733,0,0
0,-.0005102,.254281,.22,612.1844,.2205102,6.162753,34.38739,.0396117,3,1990,.329803,1,0,36,927,.194,2,1,2,2,96176.3,0,1,22.641,6.831954,46.67559,1990,1,199001,146073.5,5.756227,6.417034,12.0184,438,.20654,.014236,12.82075,474.733,0,0
1,-.0223532,.0333138,.2,590.0573,.2223532,6.346906,34.38739,.0396117,3,1990,.329803,0,0,37,698.5,.342,2,1,2,1,69850,0,0,22.641,6.548935,42.88855,1990,1,199001,106088.9,5.719532,6.380219,11.72977,439,.59554,.0055281,13.72751,570.724,0,0
0,-.0123532,-.3560319,.21,399.7638,.2223532,6.346906,34.38739,.0396117,3,1990,.329803,0,0,38,698.5,.342,2,1,2,2,47323.4,0,0,22.641,6.548935,42.88855,1990,1,199001,71875.24,5.331747,5.990874,11.72977,439,.59554,.0055281,13.72751,570.724,0,0
1,.027937,-.2649584,.25,364.7006,.222063,6.164035,27.93446,.0474802,3,1990,.2871688,0,0,39,40,.198,2,4,2,1,2512,0,0,18.582,3.688879,13.60783,1990,2,199004,3776.308,5.246052,5.899077,9.615047,440,-.36495,-.022068,0,475.3424,0,0
0,-.012063,-.4252319,.21,310.6924,.222063,6.164035,27.93446,.0474802,3,1990,.2871688,0,0,40,40,.198,2,4,2,2,2140,0,0,18.582,3.688879,13.60783,1990,2,199004,3217.078,5.086694,5.738803,9.615047,440,-.36495,-.022068,0,475.3424,0,0
1,.0244256,.0441403,.25,583.6371,.2255744,6.325139,27.93446,.0474802,3,1990,.2871688,1,0,41,130,.322,2,4,2,1,13065,1,0,18.582,4.867535,23.69289,1990,2,199004,19640.71,5.714276,6.369279,11.57866,442,.505055,.0089738,12.46435,558.4355,0,0
0,-.0255744,-.2418847,.2,438.4537,.2255744,6.325139,27.93446,.0474802,3,1990,.2871688,1,0,42,130,.322,2,4,2,2,9815,1,0,18.582,4.867535,23.69289,1990,2,199004,14754.96,5.429343,6.083254,11.57866,442,.505055,.0089738,12.46435,558.4355,0,0
1,.0356875,.5495343,.25,762.6167,.2143125,6.087221,27.41582,.0467419,3,1990,.2889566,1,0,43,510,.154,2,5,2,1,66937.5,0,1,18.237,6.234411,38.86788,1990,2,199005,100627.6,5.98045,6.636755,11.6432,443,.13423,-.0051315,13.25736,440.1965,0,0
0,.0176875,.1209469,.232,496.7903,.2143125,6.087221,27.41582,.0467419,3,1990,.2889566,1,0,44,510,.154,2,5,2,2,43605,0,1,18.237,6.234411,38.86788,1990,2,199005,65551.72,5.553214,6.208168,11.6432,443,.13423,-.0051315,13.25736,440.1965,0,0
1,.0239649,.5506873,.24,890.2935,.2160351,6.240864,25.3623,.0447088,3,1990,.3383866,1,0,45,478,.258,2,6,2,1,73134,0,1,16.871,6.169611,38.06409,1990,2,199006,109942.9,6.133424,6.791551,11.75394,444,.505035,.0074718,12.14672,513.3017,0,0
0,.0039649,-.0609102,.22,482.9696,.2160351,6.240864,25.3623,.0447088,3,1990,.3383866,1,0,46,478,.258,2,6,2,2,39674,0,1,16.871,6.169611,38.06409,1990,2,199006,59642.21,5.523654,6.179954,11.75394,444,.505035,.0074718,12.14672,513.3017,0,0
1,.0146273,.2776961,.25,577.3964,.2353727,6.080833,50.1937,.0431316,3,1990,.7869636,0,0,47,80,.148,2,9,2,1,8000,0,0,33.687,4.382027,19.20216,1990,3,199009,11920.02,5.700445,6.358529,11.76551,445,-.19236,-.020348,12.45545,437.3934,0,0
0,.0146273,.1555285,.25,510.9958,.2353727,6.080833,50.1937,.0431316,3,1990,.7869636,0,0,48,80,.148,2,9,2,2,7080,0,0,33.687,4.382027,19.20216,1990,3,199009,10549.21,5.578712,6.236362,11.76551,445,-.19236,-.020348,12.45545,437.3934,0,0
1,.0250394,1.407162,.25,1293.536,.2249606,5.757973,40.42619,.0386771,3,1990,1.049818,0,1,49,41.57,.036,2,12,2,1,9353.25,0,0,27.337,3.727379,13.89335,1990,4,199012,13831.67,6.501986,7.165135,9.378836,446,-.12999,.028669,8.15823,316.7058,0,0
0,.0000394,.9183154,.225,793.369,.2249606,5.757973,40.42619,.0386771,3,1990,1.049818,0,1,50,41.57,.036,2,12,2,2,5736.66,0,0,27.337,3.727379,13.89335,1990,4,199012,8483.423,6.014085,6.676289,9.378836,446,-.12999,.028669,8.15823,316.7058,0,0
1,-.0068825,-.2281885,.24,916.5828,.2468825,7.048841,30.05008,.0369977,3,1991,.6819905,0,0,51,72,.95,2,2,2,1,11600,0,0,20.523,4.276666,18.28987,1991,1,199102,16984.89,6.155227,6.820652,11.99298,447,.23046,.0014676,0,1151.523,0,0
0,.0081175,-.4307694,.255,748.5002,.2468825,7.048841,30.05008,.0369977,3,1991,.6819905,0,0,52,72,.95,2,2,2,2,9500,0,0,20.523,4.276666,18.28987,1991,1,199102,13910.04,5.9504,6.618072,11.99298,447,.23046,.0014676,0,1151.523,0,0
1,.0163129,1.623943,.25,2405.614,.2336871,6.161618,31.5538,.0334307,3,1991,.2257434,0,1,53,59,.192,2,9,2,1,25193,0,0,21.857,4.077538,16.62631,1991,3,199109,36369.8,7.117915,7.785561,12.55251,449,-.032401,.011404,0,474.1946,0,0
0,.0163129,1.461837,.25,2045.617,.2336871,6.161618,31.5538,.0334307,3,1991,.2257434,0,1,54,59,.192,2,9,2,2,21422.9,0,0,21.857,4.077538,16.62631,1991,3,199109,30927.11,6.955952,7.623455,12.55251,449,-.032401,.011404,0,474.1946,0,0
1,-.0052496,.1017413,.235,1042.576,.2402496,6.847709,32.25737,.0256173,3,1991,.226,1,0,55,250,.852,2,11,2,1,46250,1,0,22.465,5.521461,30.48653,1991,4,199111,66410.13,6.277172,6.94945,11.74842,450,.27953,.0025399,12.13701,941.7206,0,0
0,.0097504,-.1367216,.25,821.3809,.2402496,6.847709,32.25737,.0256173,3,1991,.226,1,0,56,250,.852,2,11,2,2,36437.5,1,0,22.465,5.521461,30.48653,1991,4,199111,52320.41,6.039214,6.710987,11.74842,450,.27953,.0025399,12.13701,941.7206,0,0
1,-.0177289,-.4720592,.1875,140.2516,.2052289,5.415497,30.76651,.0108963,3,1992,.197842,0,0,57,750,.012,2,7,2,1,18750,0,0,21.759,6.620073,43.82537,1992,3,199207,26511.88,4.272468,4.943438,10.11693,451,-.86726,-.022596,0,224.8643,0,0
0,-.0052289,-.9828849,.2,84.15097,.2052289,5.415497,30.76651,.0108963,3,1992,.197842,0,0,58,750,.012,2,7,2,2,11250,0,0,21.759,6.620073,43.82537,1992,3,199207,15907.13,3.770897,4.432612,10.11693,451,-.86726,-.022596,0,224.8643,0,0
1,-.022797,-.4252772,.1875,140.2516,.210297,5.368715,30.76651,.0108963,3,1992,.197842,0,0,59,288,.01,2,7,2,1,7200,0,0,21.759,5.662961,32.06912,1992,3,199207,10180.56,4.272468,4.943438,10.11693,452,-.86726,-.022596,0,214.587,0,0
0,-.010297,-.9361029,.2,84.15097,.210297,5.368715,30.76651,.0108963,3,1992,.197842,0,0,60,288,.01,2,7,2,2,4320,0,0,21.759,5.662961,32.06912,1992,3,199207,6108.338,3.770898,4.432612,10.11693,452,-.86726,-.022596,0,214.587,0,0
1,-.0012084,.6549435,.2,350.629,.2012084,5.204785,30.76651,.0108963,3,1992,.197842,0,1,61,80,.008,2,7,2,1,5000,0,0,21.759,4.382027,19.20216,1992,3,199207,7069.836,5.180355,5.859729,11.55286,453,-.21401,-.019582,0,182.1418,0,0
0,-.0012084,.1769075,.2,217.39,.2012084,5.204785,30.76651,.0108963,3,1992,.197842,0,1,62,80,.008,2,7,2,2,3100,0,0,21.759,4.382027,19.20216,1992,3,199207,4383.298,4.705761,5.381693,11.55286,453,-.21401,-.019582,0,182.1418,0,0
1,-.0074796,-.0250282,.1875,140.2516,.1949796,4.968466,30.76651,.0108963,3,1992,.197842,0,1,63,320,.002,2,7,2,1,8000,0,0,21.759,5.768321,33.27353,1992,3,199207,11311.74,4.272468,4.943438,10.11693,454,-.86726,-.022596,0,143.8062,0,0
0,.0050204,-.5358539,.2,84.15097,.1949796,4.968466,30.76651,.0108963,3,1992,.197842,0,1,64,320,.002,2,7,2,2,4800,0,0,21.759,5.768321,33.27353,1992,3,199207,6787.042,3.770897,4.432612,10.11693,454,-.86726,-.022596,0,143.8062,0,0
1,.0206497,1.428535,.23,1126.242,.2093503,5.598106,27.25664,.0134915,3,1992,.195743,0,0,65,48,.016,2,12,2,1,9720,0,0,19.407,3.871201,14.9862,1992,4,199212,13651.49,6.345307,7.026641,12.07987,455,.189915,-.002956,12.41533,269.9148,0,0
0,.0406497,1.139081,.25,843.1855,.2093503,5.598106,27.25664,.0134915,3,1992,.195743,0,0,66,48,.016,2,12,2,2,7368,0,0,19.407,3.871201,14.9862,1992,4,199212,10348.17,6.044152,6.737187,12.07987,455,.189915,-.002956,12.41533,269.9148,0,0
1,.0467712,1.085795,.2775,1512.026,.2307288,6.235411,27.67868,.0120323,3,1993,.1613649,0,1,67,53.36,.246,2,5,2,1,16008,0,0,19.94,3.977062,15.81702,1993,2,199305,22220.68,6.543983,7.321206,14.42874,456,.33974,.0074858,13.80042,510.5102,0,0
0,-.0256288,.1838684,.2051,613.5607,.2307288,6.235411,27.67868,.0120323,3,1993,.1613649,0,1,68,53.36,.246,2,5,2,2,5949.64,0,0,19.94,3.977062,15.81702,1993,2,199305,8258.687,5.733859,6.419279,14.42874,456,.33974,.0074858,13.80042,510.5102,0,0
1,-.0159761,.0415454,.229,838.5781,.2449761,6.690162,24.65126,.0137071,3,1993,.2193576,0,0,69,84.25,.712,2,7,2,1,12932.4,0,0,17.866,4.433789,19.65848,1993,3,199307,17843.92,6.051134,6.731708,11.32342,457,.28802,-.0006397,14.61138,804.4527,0,0
0,-.0449761,-1.070181,.2,275.8841,.2449761,6.690162,24.65126,.0137071,3,1993,.2193576,0,0,70,84.25,.712,2,7,2,2,4254.63,0,0,17.866,4.433789,19.65848,1993,3,199307,5870.479,4.944199,5.619981,11.32342,457,.28802,-.0006397,14.61138,804.4527,0,0
1,.0062093,.703402,.23,689.71,.2237907,5.832869,24.65126,.0137071,3,1993,.2193576,0,1,71,80.53,.058,2,7,2,1,10166.9,0,0,17.866,4.38863,19.26007,1993,3,199307,14028.16,5.856206,6.536271,11.00982,458,-.46223,-.0112725,11.1832,341.3366,0,0
0,.0062093,.475296,.23,549.0366,.2237907,5.832869,24.65126,.0137071,3,1993,.2193576,0,1,72,80.53,.058,2,7,2,2,8093.27,0,0,17.866,4.38863,19.26007,1993,3,199307,11166.98,5.628833,6.308165,11.00982,458,-.46223,-.0112725,11.1832,341.3366,0,0
1,.032756,.1861119,.25,550.8362,.217244,6.125326,24.16558,.0126434,3,1993,.2677022,0,1,73,173,.18,2,9,2,1,17429.8,0,0,17.514,5.153292,26.55642,1993,3,199309,24049.33,5.631308,6.311438,11.26666,459,-.06049,-.016564,12.61931,457.2936,0,0
0,.002756,-1.025333,.22,164.0207,.217244,6.125326,24.16558,.0126434,3,1993,.2677022,0,1,74,173,.18,2,9,2,2,5190,0,0,17.514,5.153292,26.55642,1993,3,199309,7161.09,4.42828,5.099993,11.26666,459,-.06049,-.016564,12.61931,457.2936,0,0
1,-.0016443,-.1102176,.225,648.7715,.2266443,6.585298,19.91682,.014774,3,1993,.3473125,1,0,75,780,.566,2,12,2,1,93186.6,1,1,14.51,6.659294,44.3462,1993,4,199312,127910.5,5.795983,6.47508,10.47401,460,.28767,-.0045414,13.06143,724.3669,0,0
0,-.0066443,-.474442,.22,450.7243,.2266443,6.585298,19.91682,.014774,3,1993,.3473125,1,0,76,780,.566,2,12,2,2,64740,1,1,14.51,6.659294,44.3462,1993,4,199312,88863.88,5.433094,6.110856,10.47401,460,.28767,-.0045414,13.06143,724.3669,0,0
1,-.0010202,.3950067,.238,959.5727,.2390202,6.471481,25.92054,.0303626,3,1994,.2999824,0,0,77,624,.448,2,6,2,1,112632,0,0,19.07,6.436151,41.42403,1994,2,199406,153092.9,6.197833,6.866488,11.3278,461,-.116938,-.0057775,11.68071,646.4406,0,0
0,.0109798,.2934861,.25,866.938,.2390202,6.471481,25.92054,.0303626,3,1994,.2999824,0,0,78,624,.448,2,6,2,2,101759,0,0,19.07,6.436151,41.42403,1994,2,199406,138313.7,6.09653,6.764967,11.3278,461,-.116938,-.0057775,11.68071,646.4406,0,0
1,-.0260514,-.9900904,.225,401.0824,.2510514,6.984257,26.56518,.0330104,3,1994,.3067951,1,0,79,120,.93,2,7,2,1,9120,1,0,19.65,4.787492,22.92008,1994,3,199407,12329.49,5.330259,5.994167,11.17876,462,-.15838,-.016473,12.31294,1079.504,0,0
0,-.0010514,-1.269039,.25,303.4505,.2510514,6.984257,26.56518,.0330104,3,1994,.3067951,1,0,80,120,.93,2,7,2,2,6900,1,0,19.65,4.787492,22.92008,1994,3,199407,9328.231,5.052867,5.715219,11.17876,462,-.15838,-.016473,12.31294,1079.504,0,0
1,.0085577,.8004417,.25,1256.041,.2414423,6.335278,24.84825,.0337685,3,1994,.3159297,0,0,81,329,.33,2,8,2,1,78346.4,0,0,18.38,5.796058,33.59428,1994,3,199408,105917.9,6.469061,7.13572,11.98076,463,-.060661,-.0037068,0,564.1262,0,0
0,.0085577,.7678552,.25,1215.77,.2414423,6.335278,24.84825,.0337685,3,1994,.3159297,0,0,82,329,.33,2,8,2,2,75834.5,0,0,18.38,5.796058,33.59428,1994,3,199408,102522,6.436525,7.103133,11.98076,463,-.060661,-.0037068,0,564.1262,0,0
1,-.0210613,.7451773,.166667,780.8995,.187728,5.915269,22.91725,.0374623,3,1995,.2769978,0,0,83,69,.072,2,7,2,1,10453.5,0,0,17.3,4.234107,17.92766,1995,3,199507,13847.71,5.997405,6.660447,0,465,-.2007075,-.017336,12.51386,370.6541,0,0
0,.017272,-.4799194,.205,229.3731,.187728,5.915269,22.91725,.0374623,3,1995,.2769978,0,0,84,69,.072,2,7,2,2,3070.5,0,0,17.3,4.234107,17.92766,1995,3,199507,4067.48,4.778266,5.43535,0,465,-.2007075,-.017336,12.51386,370.6541,0,0
1,-.0273196,-.0789785,.166667,445.804,.1939863,6.178858,22.91725,.0374623,3,1995,.2769978,1,0,85,40.93,.208,2,7,2,1,3540,1,0,17.3,3.711863,13.77793,1995,3,199507,4689.425,5.438704,6.099879,6.72263,468,.10316,-.0094705,13.97538,482.4406,0,0
0,.0110137,-.7664914,.205,224.1614,.1939863,6.178858,22.91725,.0374623,3,1995,.2769978,1,0,86,40.93,.208,2,7,2,2,1780,1,0,17.3,3.711863,13.77793,1995,3,199507,2357.959,4.755477,5.412366,6.72263,468,.10316,-.0094705,13.97538,482.4406,0,0
1,-.0251078,.0733743,.166667,456.169,.1917745,6.049489,22.91725,.0374623,3,1995,.2769978,1,0,87,80,.128,2,7,2,1,7080,1,0,17.3,4.382027,19.20216,1995,3,199507,9378.85,5.461589,6.122863,6.72263,469,.10248,-.0094705,13.97538,423.8964,0,0
0,.0132255,-.6141391,.205,229.3731,.1917745,6.049489,22.91725,.0374623,3,1995,.2769978,1,0,88,80,.128,2,7,2,2,3560,1,0,17.3,4.382027,19.20216,1995,3,199507,4715.919,4.778266,5.43535,6.72263,469,.10248,-.0094705,13.97538,423.8964,0,0
1,-.0272053,-.0462098,.166667,456.169,.193872,6.169073,22.91725,.0374623,3,1995,.2769978,0,0,89,42.42,.202,2,7,2,1,3754.17,0,0,17.3,3.74762,14.04465,1995,3,199507,4973.135,5.461589,6.122863,6.72263,470,.10248,-.0094705,13.97538,477.7431,0,0
0,.011128,-.7337232,.205,229.3731,.193872,6.169073,22.91725,.0374623,3,1995,.2769978,0,0,90,42.42,.202,2,7,2,2,1887.69,0,0,17.3,3.74762,14.04465,1995,3,199507,2500.616,4.778266,5.43535,6.72263,470,.10248,-.0094705,13.97538,477.7431,0,0
1,-.0306637,.5122681,.166667,786.054,.1973304,6.154757,22.91725,.0374623,3,1995,.2769978,1,0,91,44,.188,2,7,2,1,6710,1,0,17.3,3.78419,14.32009,1995,3,199507,8888.713,6.003967,6.667026,13.03176,472,.10636,-.0059997,12.74814,470.9526,0,0
