roy_dm,lncpad_dm,accbid
.0170423,.2969728,0
.03091,1.221523,1
.02091,.5676579,0
.0205464,.3913598,1
.0105464,.3042498,0
.0809772,1.218881,1
.0553772,.5990796,0
.0234207,-.1483459,1
-.0315793,-.9524994,0
-.0390988,.3551435,1
-.0057988,-.2867107,0
-.0226839,-.1565247,1
-.0976839,-3.615991,0
.0585097,.5296717,1
.0335097,.498332,0
.0246833,.5845561,1
.0646833,.3392501,0
.0359122,1.6895,1
.0459122,.4955769,0
.0685369,.5137658,1
.0285368,.0718694,0
-.0038327,1.104345,1
.0561673,.5835943,0
-.0088784,-.3432298,1
-.0088784,-.3852806,0
.0017998,1.408682,1
.0617998,.8879309,0
-.0412693,1.738206,1
-.0512692,1.773127,0
.0704607,.0874352,1
.0279606,.2546434,0
.0134043,.3615413,1
-.0165957,-.9819098,0
.0375382,.7571793,1
.0075382,.3450694,0
.0198577,1.584913,1
.0648577,1.430762,0
.031468,.6426773,1
-.031032,-.7926021,0
.0235217,.4978867,1
-.0164783,.2002101,0
-.0427408,-.0099897,1
.0197592,-.1901269,0
-.0486335,-1.744491,1
-.0903335,-2.660781,0
-.0375935,-.3530855,1
-.0250935,-1.148015,0
.1178102,.4685106,1
.0078102,.9252162,0
-.0375282,-.4552913,1
-.0125283,-.2650123,0
-.0280426,-.1010146,1
-.0030425,-.2481909,0
-.031356,.2860112,0
.051944,1.417414,1
.0243917,-.054359,1
-.0256083,.9008446,0
-.0240882,-.3999076,1
.0259117,-.0043931,0
.0302032,-.4402714,0
.0302032,-.4200764,1
.0358709,.7006345,1
.0458709,.6035724,0
.0331506,.4086847,1
.0831506,-.6591558,0
.0300757,.2340364,1
-.0224243,.0858493,0
-.0004137,.5454865,1
-.0304137,-.2937913,0
-.0029407,.6451259,1
-.0329407,-.3156734,0
.0213933,.441576,1
.0163933,.1528215,0
.0236339,-.2727065,1
.0486339,-2.63356,0
-.0225202,.1439219,1
.0074798,-.0898719,0
-.010858,.378283,1
-.013358,-.2946615,0
.015351,.4130316,1
-.024649,-.4150352,0
.0815397,-1.938994,1
.0865397,-2.505048,0
.0037744,1.447867,1
.0487744,1.302685,0
.0395568,.9822698,1
.0095568,.4380093,0
-.0386781,-.6138258,1
.0213219,-.963201,0
-.0389349,-.0101676,1
-.0264349,-.2806644,0
-.0262823,-.5559044,1
-.0462823,-.8707151,0
-.0300503,.0809407,1
-.0633836,.0572243,0
-.0452732,.3862977,1
-.0661065,-1.757057,0
.0350962,.7314482,1
.0300962,.5467486,0
.0104372,.9496045,1
-.0245628,.0810766,0
-.0100024,.9150405,1
-.0200024,1.214561,0
.0284302,.7952633,1
.0219302,.6065812,0
.0284302,.7056379,1
.0219302,.6033649,0
.1907904,-2.126288,1
-.0467096,-1.433557,0
.0343484,.1421943,1
.0093484,.1440482,0
.0705059,1.213326,1
-.0094941,-.0514059,0
.020813,.909133,1
.025913,.8211641,0
.0397997,.6398039,1
-.0065003,-.3737526,0
.0470271,.8490367,1
-.0004729,.4150257,0
-.0198735,.2246218,1
.0001265,-.1860518,0
-.0054595,.1371789,1
-.0454596,.3529496,0
.0113502,-.2079492,1
-.0186498,-.0398121,0
.0369138,.75562,1
-.0057862,.4657011,0
.0136873,.3736596,1
-.0013127,-.2253008,0
-.0130854,-.4997473,1
-.0530854,-.5550971,0
-.0212722,.3934512,1
.0187277,.0672355,0
-.0205789,.4910636,1
.0194211,.3180442,0
-.0203464,.6175127,1
.0196536,.1702003,0
.000101,.2621732,1
.005101,.0047836,0
-.0272163,.3849425,1
-.0022163,.2418418,0
-.0513712,-1.231369,1
-.0513712,-1.26008,0
.0197322,.0098929,1
-.0202678,-.5497227,0
.0436343,1.865412,1
.0186343,.812757,0
.0356606,.1540027,1
-.0021394,-.0233731,0
-.0368694,.5382586,1
-.0368694,.1327934,0
.0228614,-.5944815,1
.0228614,-1.148711,0
-.0290488,-1.001431,1
-.0415488,-1.917722,0
.0262693,.5881977,1
.0027693,-.1398201,0
-.0649073,1.194082,1
.0233927,.6911306,0
.0256521,-.8804989,1
-.0576479,-.8420324,0
.0407489,.3024678,1
.0277489,.2885623,0
.0223001,.75804,1
.0223001,.1834984,0
-.0336906,-1.831452,1
-.0961906,-2.105289,0
-.0006896,.2358675,1
.0193104,-.2749581,0
.0009032,.2681117,1
.0209032,-.2427139,0
-.0001047,.5271459,1
-.0251047,-.1864772,0
.0143625,.3461781,1
-.0056375,.2376647,0
.0424034,1.382322,1
.0399034,1.016046,0
.0397675,1.012721,1
.0097675,.5708876,0
-.0122377,.8059883,1
.0377623,.7082176,0
.013596,.3831434,1
.008596,-.0098891,0
-.0114839,.0158114,1
.0385161,-.2916732,0
-.0086469,.3844347,1
-.0419802,-.8028831,0
-.051141,-.8670235,1
-.051141,-1.223699,0
.0018563,-.2838697,1
-.0231437,-.3407898,0
.0481171,-1.475574,1
.0381171,-1.718574,0
.00414,.7656364,1
-.01461,.7656364,0
.0609276,.7271786,1
.0489276,1.088954,0
-.0071124,.7230501,1
.0428876,.4058094,0
-.0081822,-.499177,1
-.0415155,-1.170712,0
.0280936,.5277872,1
.0180936,.3872972,0
.0311215,-.307879,1
.0111215,-.1943655,0
.0306344,-.7352505,1
.0206345,-.7352505,0
.0089595,.0356197,1
.0089595,-.0761495,0
.0105892,.0479131,1
.0105892,-.0638556,0
.0492258,1.028185,1
.0566258,-.1547341,0
-.0388353,-.3515682,1
-.0388353,-.4643641,0
-.0120755,.4504647,1
-.0120755,.0791693,0
.0097291,-.3419385,1
-.0202709,-.4013619,0
.0094898,.312777,1
-.0005102,.254281,0
-.0223532,.0333138,1
-.0123532,-.3560319,0
.027937,-.2649584,1
-.012063,-.4252319,0
-.0548983,-.8948641,1
-.0582316,-1.607814,0
.0244256,.0441403,1
-.0255744,-.2418847,0
.0356875,.5495343,1
.0176875,.1209469,0
.0239649,.5506873,1
.0039649,-.0609102,0
.0146273,.2776961,1
.0146273,.1555285,0
.0250394,1.407162,1
.0000394,.9183154,0
-.0068825,-.2281885,1
.0081175,-.4307694,0
-.0240766,-.9215088,1
-.0140766,-1.448728,0
.0163129,1.623943,1
.0163129,1.461837,0
-.0052496,.1017413,1
.0097504,-.1367216,0
-.0177289,-.4720592,1
-.0052289,-.9828849,0
-.022797,-.4252772,1
-.010297,-.9361029,0
-.0012084,.6549435,1
-.0012084,.1769075,0
-.0074796,-.0250282,1
.0050204,-.5358539,0
.0206497,1.428535,1
.0406497,1.139081,0
.0467712,1.085795,1
-.0256288,.1838684,0
-.0159761,.0415454,1
-.0449761,-1.070181,0
.0062093,.703402,1
.0062093,.475296,0
.032756,.1861119,1
.002756,-1.025333,0
-.0016443,-.1102176,1
-.0066443,-.474442,0
-.0010202,.3950067,1
.0109798,.2934861,0
-.0260514,-.9900904,1
-.0010514,-1.269039,0
.0085577,.8004417,1
.0085577,.7678552,0
-.0210613,.7451773,1
.017272,-.4799194,0
-.0273196,-.0789785,1
.0110137,-.7664914,0
-.0251078,.0733743,1
.0132255,-.6141391,0
-.0272053,-.0462098,1
.011128,-.7337232,0
-.0306637,.5122681,1
.0076696,-.7194076,0
-.028694,.5972214,1
.0096392,-.6278753,0
-.0308824,.5105243,1
.0074508,-.7339873,0
-.0309422,-.1221528,1
.0073911,-.6573968,0
-.0321769,-.0775084,1
.0061564,-.6127524,0
-.031771,.0238953,1
.0065623,-.5113487,0
-.009064,.5059991,1
.0292693,-.1815143,0
-.0126562,.4093947,1
.0256771,-.2781186,0
-.0118966,1.074045,1
.0264367,-.1641669,0
-.0177794,.3256369,1
.0205539,-.3618765,0
-.0196591,.1382947,1
.0186742,-.3969498,0
.0271894,1.655691,1
.0271894,1.021151,0
.0229345,1.137123,1
.0229345,.8363457,0
.0208074,1.01182,1
.0208074,.7110429,0
.0271894,1.680848,1
.0271894,1.266544,0
.0213078,1.928173,1
.0213078,.148262,0
.0210335,-.299511,1
-.0239665,-.7342463,0
.0341279,.084096,1
-.0492055,-2.084966,0
.0322866,.6748252,1
-.0177134,-.7915115,0
.018516,-.098021,1
-.021484,-.424005,0
-.0206329,1.545966,1
-.0206329,-.2150216,0
-.0008551,.0670056,1
-.0008551,-.0050669,0
.0353535,.2135782,1
