132,595.93,17175,28.821,0.21548,1,0.5191,1623.4,-0.17212
133,706.49,16008,22.658,0.34582,1,0.60669,2996.1,0.21879
134,582.2,14037,24.111,0.30938,1,0.54735,2221.8,0.11782
135,706.06,15797,22.373,0.35344,1,0.59857,3057.1,0.23936
136,469.86,11727,24.958,0.28988,1,0.53587,1686.5,0.061689
137,763.42,17048,22.332,0.35455,1,0.64096,3315.4,0.24236
138,590.93,16486,27.898,0.23127,1,0.54617,1718.5,-0.11925
139,521.89,20961,40.164,0.10705,1,0.38323,790.69,-0.62695
140,598.05,26172,43.763,0.085737,1,0.37506,747.85,-0.75206
141,977.22,44319,45.352,0.11159,1,0.61382,2588.2,-0.40415
142,821.41,40816,49.69,0.0917,1,0.56151,1854.6,-0.51638
143,532.85,22726,42.651,0.10757,1,0.43737,892.71,-0.6089
144,211.9,7305.5,34.477,0.17,1,0.37782,519.17,-0.32352
145,283.43,9209.8,32.494,0.19482,1,0.44408,786,-0.22962
146,193.14,6425,33.266,0.18473,1,0.39127,510.3,-0.26685
147,342.17,9774.4,28.566,0.25594,1,0.54584,1218.3,-0.025283
148,226.5,8191.9,36.168,0.15148,1,0.37478,499.9,-0.39947
149,305.64,8135.2,26.617,0.29326,1,0.53481,1234.4,0.08675
150,152.45,4470.5,29.323,0.24276,1,0.41969,517.04,-0.066805
151,552.97,16704,30.208,0.22826,1,0.54475,1772.3,-0.11394
152,731.98,29185,39.872,0.12867,1,0.48061,1440.7,-0.50207
153,485.42,13497,27.805,0.2699,1,0.54374,1815.2,0.017519
154,412.76,17436,42.243,0.11042,1,0.37781,707.93,-0.59366
155,552.97,16704,30.208,0.22826,1,0.54475,1772.3,-0.11394
156,731.98,29185,39.872,0.12867,1,0.48061,1440.7,-0.50207
157,679.76,36623,53.876,0.077785,1,0.42112,1089.2,-0.72604
158,577.75,32284,55.879,0.071039,1,0.39302,858.44,-0.774
159,658.16,34093,51.8,0.086359,1,0.46463,1154.6,-0.66943
160,674.81,40019,59.304,0.060115,1,0.40837,867.56,-0.85972
161,112.72,5328.3,47.269,0.1134,1,0.27841,254.54,-0.51456
162,103.54,4497.3,43.436,0.14261,1,0.31787,288.99,-0.37459
163,694.01,9077,13.079,0.7379,1,0.71529,5651.8,1.1812
164,515.94,8501.5,16.478,0.58415,1,0.6674,3182.7,0.75687
