win,dcn,drn,diffc,diffr,lndiffc,index,n,cash,roy,oroy,ocash
0,.072,.084,-784.6924,-.055,-1.260739,.142,57,310.397,.2,.255,1095.089
1,.928,.914,784.6924,.055,1.260739,.142,57,1095.089,.255,.2,310.397
0,.366,.31,-65.81526,-.0125,-.231988,.032,58,252.0647,.1875,.2,317.88
1,.632,.672,65.81526,.0125,.231988,.032,58,317.88,.2,.1875,252.0647
0,.496,.31,0,-.0125,0,.132,59,661.9073,.1875,.2,661.9073
1,.496,.672,0,.0125,0,.132,59,661.9073,.2,.1875,661.9073
0,.48,.31,-19.22406,-.0125,-.0294735,.132,60,642.6833,.1875,.2,661.9073
1,.52,.672,19.22406,.0125,.0294735,.132,60,661.9073,.2,.1875,642.6833
0,.496,.31,0,-.0125,0,.076,61,661.9067,.1875,.2,661.9067
1,.496,.672,0,.0125,0,.076,61,661.9067,.2,.1875,661.9067
0,.15,.88,-227.0544,.05,-.8135941,.028,62,180.7755,.25,.2,407.8299
1,.85,.094,227.0544,-.05,.8135941,.028,62,407.8299,.2,.25,180.7755
0,.124,.034,-90.49042,-.0833333,-.9162907,.014,63,60.32695,.1666667,.25,150.8174
1,.874,.962,90.49042,.0833333,.9162907,.014,63,150.8174,.25,.1666667,60.32695
0,.372,.094,-60.3427,-.05,-.2184956,.088,64,247.1,.2,.25,307.4427
1,.626,.88,60.3427,.05,.2184956,.088,64,307.4427,.25,.2,247.1
0,.596,.094,59.686,-.05,.1774236,.166,65,367.129,.2,.25,307.443
1,.404,.88,-59.686,.05,-.1774236,.166,65,307.443,.25,.2,367.129
0,.946,.074,559.1384,-.06,1.476937,.152,66,724.588,.21,.27,165.4496
1,.054,.926,-559.1384,.06,-1.476937,.152,66,165.4496,.27,.21,724.588
0,.02,.142,-679.7042,-.0420333,-2.067093,.276,67,98.48189,.1666667,.2087,778.1861
1,.98,.858,679.7042,.0420333,2.067093,.276,67,778.1861,.2087,.1666667,98.48187
0,.188,.18,-301.0385,-.0333333,-.6699506,.004,68,315.5074,.1666667,.2,616.5458
1,.812,.812,301.0385,.0333333,.6699506,.004,68,616.5458,.2,.1666667,315.5074
0,.39,.048,-209.5059,-.08,-.1913171,.328,69,993.6564,.22,.3,1203.162
1,.61,.95,209.5059,.08,.1913171,.328,69,1203.162,.3,.22,993.6564
0,.006,.266,-1200.162,-.02,-3.000364,.836,70,62.85922,.1875,.2075,1263.021
1,.994,.712,1200.162,.02,3.000364,.836,70,1263.021,.2075,.1875,62.85925
0,.002,.266,-1873.573,-.02,-3.427705,.446,71,62.85922,.1875,.2075,1936.433
1,.996,.712,1873.573,.02,3.427705,.446,71,1936.433,.2075,.1875,62.85925
0,.252,.09,-812.965,-.05,-.5046542,.108,72,1238.497,.25,.3,2051.462
1,.746,.906,812.965,.05,.5046542,.108,72,2051.462,.3,.25,1238.497
0,.264,.192,-353.7935,-.03,-.4687773,.018,73,591.5892,.21,.24,945.3828
1,.736,.788,353.7935,.03,.4687773,.018,73,945.3828,.24,.21,591.5892
0,.208,.418,-564.1786,0,-.5918767,.44,74,698.7795,.2,.2,1262.958
1,.79,.418,564.1786,0,.5918767,.44,74,1262.958,.2,.2,698.7795
0,.228,.418,-204.7088,0,-.5405786,.92,75,285.5074,.1666667,.1666667,490.2161
1,.77,.418,204.7088,0,.5405786,.92,75,490.2161,.1666667,.1666667,285.5074
0,.618,.018,178.7847,-.1163333,.2005353,.636,76,983.9155,.217,.3333333,805.1307
1,.382,.98,-178.7847,.1163333,-.2005353,.636,76,805.1307,.3333333,.217,983.9155
0,.102,.92,-452.0522,.06,-1.075306,.116,77,234.116,.26,.2,686.1682
1,.898,.078,452.0522,-.06,1.075306,.116,77,686.1682,.2,.26,234.116
0,.104,.418,-588.1451,0,-1.055262,.138,78,314.0581,.2,.2,902.2032
1,.894,.418,588.1451,0,1.055262,.138,78,902.2032,.2,.2,314.0581
0,.362,.398,-164.4307,-.0033333,-.2344472,.426,79,622.349,.1666667,.17,786.7797
1,.636,.6,164.4307,.0033333,.2344472,.426,79,786.7797,.17,.1666667,622.349
0,.416,.398,-107.3023,-.0033333,-.1590657,.412,80,622.349,.1666667,.17,729.6513
1,.584,.6,107.3023,.0033333,.1590657,.412,80,729.6513,.17,.1666667,622.349
0,.148,.984,-181.2617,.1333333,-.8203042,.366,81,142.5921,.3,.1666667,323.8538
1,.852,.014,181.2617,-.1333333,.8203042,.366,81,323.8538,.1666667,.3,142.5921
0,.246,.812,-235.0938,.0333333,-.5108887,.578,82,352.5851,.2,.1666667,587.6788
1,.754,.18,235.0938,-.0333333,.5108887,.578,82,587.6788,.1666667,.2,352.5851
0,.44,.582,-58.96814,.0000333,-.1057392,.578,83,528.7107,.1667,.1666667,587.6788
1,.558,.414,58.96814,-.0000333,.1057392,.578,83,587.6788,.1666667,.1667,528.7107
0,.4,.246,-139.0758,-.025,-.1823215,.516,84,695.3792,.2,.225,834.455
1,.6,.752,139.0758,.025,.1823215,.516,84,834.455,.225,.2,695.3792
0,.714,.052,216.9583,-.075,.4097848,.522,85,645.3119,.2,.275,428.3536
1,.286,.946,-216.9583,.075,-.4097848,.522,85,428.3536,.275,.2,645.3119
0,.748,.09,281.3231,-.05,.5048605,.522,86,709.6767,.225,.275,428.3536
